[2021-07-10T08:33:16.057277Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:24.799Z","ept":0.005}
[2021-07-10T08:33:17.059390Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:25.799Z","ept":0.005}
[2021-07-10T08:33:18.061666Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:26.799Z","ept":0.005}
[2021-07-10T08:33:19.064075Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:27.799Z","ept":0.005}
[2021-07-10T08:33:20.066527Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:28.799Z","ept":0.005}
[2021-07-10T08:33:21.068927Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:29.799Z","ept":0.005}
[2021-07-10T08:33:22.070921Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:30.799Z","ept":0.005}
[2021-07-10T08:33:23.072326Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:31.799Z","ept":0.005}
[2021-07-10T08:33:24.074837Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:32.799Z","ept":0.005}
[2021-07-10T08:33:25.077187Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:33.799Z","ept":0.005}
[2021-07-10T08:33:26.079549Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:34.799Z","ept":0.005}
[2021-07-10T08:33:27.081308Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:35.799Z","ept":0.005}
[2021-07-10T08:33:28.082956Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:36.799Z","ept":0.005}
[2021-07-10T08:33:29.084575Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:37.799Z","ept":0.005}
[2021-07-10T08:33:30.086846Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:38.799Z","ept":0.005}
[2021-07-10T08:33:31.089139Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:39.799Z","ept":0.005}
[2021-07-10T08:33:32.091495Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:40.799Z","ept":0.005}
[2021-07-10T08:33:33.093838Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:41.799Z","ept":0.005}
[2021-07-10T08:33:34.095793Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:42.799Z","ept":0.005}
[2021-07-10T08:33:35.097949Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:43.799Z","ept":0.005}
[2021-07-10T08:33:36.100189Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:44.799Z","ept":0.005}
[2021-07-10T08:33:37.102391Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:45.799Z","ept":0.005}
[2021-07-10T08:33:38.104876Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:46.799Z","ept":0.005}
[2021-07-10T08:33:39.107108Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:47.799Z","ept":0.005}
[2021-07-10T08:33:40.109508Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:48.799Z","ept":0.005}
[2021-07-10T08:33:41.111841Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:49.799Z","ept":0.005}
[2021-07-10T08:33:42.114235Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:50.800Z","ept":0.005}
[2021-07-10T08:33:43.116530Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:51.800Z","ept":0.005}
[2021-07-10T08:33:44.118885Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:52.800Z","ept":0.005}
[2021-07-10T08:33:45.121282Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:53.800Z","ept":0.005}
[2021-07-10T08:33:46.123661Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:54.800Z","ept":0.005}
[2021-07-10T08:33:47.126028Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:55.800Z","ept":0.005}
[2021-07-10T08:33:48.128453Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:56.800Z","ept":0.005}
[2021-07-10T08:33:49.130698Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:57.800Z","ept":0.005}
[2021-07-10T08:33:50.133153Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:58.800Z","ept":0.005}
[2021-07-10T08:33:51.135657Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:01:59.800Z","ept":0.005}
[2021-07-10T08:33:52.138052Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:00.800Z","ept":0.005}
[2021-07-10T08:33:53.140284Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:01.800Z","ept":0.005}
[2021-07-10T08:33:54.142674Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:02.800Z","ept":0.005}
[2021-07-10T08:33:55.144922Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:03.800Z","ept":0.005}
[2021-07-10T08:33:56.147054Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:04.800Z","ept":0.005}
[2021-07-10T08:33:57.149346Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:05.800Z","ept":0.005}
[2021-07-10T08:33:58.151718Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:06.800Z","ept":0.005}
[2021-07-10T08:33:59.153262Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:07.800Z","ept":0.005}
[2021-07-10T08:34:00.154838Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:08.800Z","ept":0.005}
[2021-07-10T08:34:01.156438Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:09.800Z","ept":0.005}
[2021-07-10T08:34:02.161015Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:10.800Z","ept":0.005}
[2021-07-10T08:34:03.162482Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:11.800Z","ept":0.005}
[2021-07-10T08:34:04.164790Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:12.800Z","ept":0.005}
[2021-07-10T08:34:05.167074Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:13.800Z","ept":0.005}
[2021-07-10T08:34:06.169328Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:14.800Z","ept":0.005}
[2021-07-10T08:34:07.171714Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:15.800Z","ept":0.005}
[2021-07-10T08:34:08.173513Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:16.800Z","ept":0.005}
[2021-07-10T08:34:09.175309Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:17.800Z","ept":0.005}
[2021-07-10T08:34:10.177934Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:18.800Z","ept":0.005}
[2021-07-10T08:34:11.180366Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:19.800Z","ept":0.005}
[2021-07-10T08:34:12.182054Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:20.800Z","ept":0.005}
[2021-07-10T08:34:13.183437Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:21.800Z","ept":0.005}
[2021-07-10T08:34:14.185031Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:22.800Z","ept":0.005}
[2021-07-10T08:34:15.187261Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:23.800Z","ept":0.005}
[2021-07-10T08:34:16.189433Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:24.800Z","ept":0.005}
[2021-07-10T08:34:17.191481Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:25.800Z","ept":0.005}
[2021-07-10T08:34:18.193649Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:26.800Z","ept":0.005}
[2021-07-10T08:34:19.195935Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:27.800Z","ept":0.005}
[2021-07-10T08:34:20.198303Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:28.800Z","ept":0.005}
[2021-07-10T08:34:21.200602Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:29.800Z","ept":0.005}
[2021-07-10T08:34:22.202862Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:30.800Z","ept":0.005}
[2021-07-10T08:34:23.204992Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:31.800Z","ept":0.005}
[2021-07-10T08:34:24.207325Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:32.800Z","ept":0.005}
[2021-07-10T08:34:25.209703Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:33.800Z","ept":0.005}
[2021-07-10T08:34:26.212067Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:34.800Z","ept":0.005}
[2021-07-10T08:34:27.214006Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:35.800Z","ept":0.005}
[2021-07-10T08:34:28.216179Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:36.800Z","ept":0.005}
[2021-07-10T08:34:29.218576Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:37.800Z","ept":0.005}
[2021-07-10T08:34:30.221014Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:38.800Z","ept":0.005}
[2021-07-10T08:34:31.022976Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:39.800Z","ept":0.005}
[2021-07-10T08:34:32.025335Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:40.800Z","ept":0.005}
[2021-07-10T08:34:33.227856Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:41.800Z","ept":0.005}
[2021-07-10T08:34:34.029891Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:42.800Z","ept":0.005}
[2021-07-10T08:34:35.032252Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:43.800Z","ept":0.005}
[2021-07-10T08:34:36.034642Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:44.800Z","ept":0.005}
[2021-07-10T08:34:37.037005Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:45.800Z","ept":0.005}
[2021-07-10T08:34:38.039396Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:46.800Z","ept":0.005}
[2021-07-10T08:34:39.041786Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:47.800Z","ept":0.005}
[2021-07-10T08:34:40.044149Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:48.800Z","ept":0.005}
[2021-07-10T08:34:41.046578Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:49.800Z","ept":0.005}
[2021-07-10T08:34:42.048266Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:50.800Z","ept":0.005}
[2021-07-10T08:34:43.050057Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:51.800Z","ept":0.005}
[2021-07-10T08:34:44.051979Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:52.800Z","ept":0.005}
[2021-07-10T08:34:45.054399Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:53.800Z","ept":0.005}
[2021-07-10T08:34:46.056821Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:54.800Z","ept":0.005}
[2021-07-10T08:34:47.059237Z |   MainThread |     INFO] {"class":"TPV","device":"/dev/serial0","mode":1,"time":"1980-01-06T00:02:55.800Z","ept":0.005}
